City,Street
Χαλκίδα,Βώκου
Χαλκίδα,Γαζέπη Ηρακλή
Χαλκίδα,Γαζή Άνθιμου
Χαλκίδα,Γαζίας
Χαλκίδα,Γαρυφαλιάς
Χαλκίδα,Γερανιών
Χαλκίδα,Γεροντίτη Κωνσταντίνου
Χαλκίδα,Γεωργιάδη Θεμ.
Χαλκίδα,Γεωργιάδου Βασ.
Χαλκίδα,Γιαννίτση
Χαλκίδα,Γιαννιτσίου
Χαλκίδα,Γιασεμιών
Χαλκίδα,Γκομίνη Ι.
Χαλκίδα,Γκορτζή Αθανασίου
Χαλκίδα,Γκούρα Ιωάννη
Χαλκίδα,Γλαύκου
Χαλκίδα,Γληνού Δημητρίου
Χαλκίδα,Γοβιού Αγγελή
Χαλκίδα,Γοργίου
Χαλκίδα,Γοργοποτάμου
Χαλκίδα,Γράμμου (Ξηρόβρυση Ευβοίας)
Χαλκίδα,Γράμμου
Χαλκίδα,Γρεβενών
Χαλκίδα,Γρίβα
Χαλκίδα,Γυθείου
Χαλκίδα,Δαγκλή Γ.
Χαλκίδα,Δαμασκηνιάς
Χαλκίδα,Δαρδανελλίων
Χαλκίδα,Δαφνών
Χαλκίδα,Δελαγραμμάτικα
Χαλκίδα,Δεληγιάννη Κανέλλου
Χαλκίδα,Δεξαμενής
Χαλκίδα,Δερβενακίων
Χαλκίδα,Δήλου
Χαλκίδα,Δημάρχου Σκούρα Δ.
Χαλκίδα,Δημητρίου Δημητρίου
Χαλκίδα,Δημητρίου Πολιορκητού
Χαλκίδα,Δήμητρος
Χαλκίδα,Δημοκρίτου
Χαλκίδα,Διάκου Αθανασίου
Χαλκίδα,Δικαιάρχου
Χαλκίδα,Διμηνίου
Χαλκίδα,Διοκλέους
Χαλκίδα,Διομήδη Κ.
Χαλκίδα,Διονύσου
Χαλκίδα,Διρφύων
Χαλκίδα,Δοξάκη Μάρ.
Χαλκίδα,Δούκα Αθ.
Χαλκίδα,Δούνα Αντωνίου
Χαλκίδα,Δρακομερίου
Χαλκίδα,Δρακόπουλου Ηλία
Χαλκίδα,Δράκου Γεώργιου
Χαλκίδα,Δράμας
Χαλκίδα,Δροσιάς - Λαμίας
Χαλκίδα,Δρυάδων
Χαλκίδα,Δρυόπων
Χαλκίδα,Δυοβουνιώτη
Χαλκίδα,Δύστου
Χαλκίδα,Δωδεκανήσου
Χαλκίδα,Έβρου
Χαλκίδα,Εθνικής Συμφιλίωσης
Χαλκίδα,Ειρήνης
Χαλκίδα,Ελαφονήσου
Χαλκίδα,Ελευθερίας
Χαλκίδα,Ελεφήνορος
Χαλκίδα,Ελιάς
Χαλκίδα,Ελληνικού Ερυθρού Σταυρού
Χαλκίδα,Έλληνος Στρατιώτου
Χαλκίδα,Ελλησπόντου
Χαλκίδα,Έλλοπος
Χαλκίδα,Ελπίδας
Χαλκίδα,Επιμενίδου
Χαλκίδα,Ερετρίας
Χαλκίδα,Ερίζου Παύλου
Χαλκίδα,Ερμού
Χαλκίδα,Ερυμανθού
Χαλκίδα,Ερωτόκριτου
Χαλκίδα,Ευάρχου
Χαλκίδα,Ευβοίας
Χαλκίδα,Ευκαλύπτων
Χαλκίδα,Ευπόλιδος
Χαλκίδα,Ευρίπου
Χαλκίδα,Ευρύτου
Χαλκίδα,Ευρώτα
Χαλκίδα,Ευφορίωνος
Χαλκίδα,Εφέσου
Χαλκίδα,Ζαγοριανού
Χαλκίδα,Ζαΐμη Ανδρέα
Χαλκίδα,Ζακύνθου
Χαλκίδα,Ζαλοκώστα
Χαλκίδα,Ζαχαρόπουλου Κ.
Χαλκίδα,Ζουμπουλίων
Χαλκίδα,Ζωής
Χαλκίδα,Ηπείρου
Χαλκίδα,Ηρακλέους
Χαλκίδα,Ήρας
Χαλκίδα,Ησιόδου
Χαλκίδα,Ηφαίστου
Χαλκίδα,Θάσου
Χαλκίδα,Θέμιδος
Χαλκίδα,Θεοκλέους
Χαλκίδα,Θεοφιλοπούλου
Χαλκίδα,Θεοχάρη Αντωνίου
Χαλκίδα,Θεοχάρη Θ.
Χαλκίδα,Θεσπρωτίας
Χαλκίδα,Θηβών
Χαλκίδα,Θήρας
Χαλκίδα,Θουρίας
Χαλκίδα,Θράκης
Χαλκίδα,Ιατρίδου Γ.
Χαλκίδα,Ιβίσκου
Χαλκίδα,Ιερολοχιτών
Χαλκίδα,Ιθάκης
Χαλκίδα,Ιλισού
Χαλκίδα,Ίμβρου
Χαλκίδα,Ιουστινιανού
Χαλκίδα,Ιππάρχου
Χαλκίδα,Ιπποβότων
Χαλκίδα,Ιπποκλέους
Χαλκίδα,Ισαίου
Χαλκίδα,Ιστιαίας
Χαλκίδα,Ιφιγενείας
Χαλκίδα,Ιωαννίδου
Χαλκίδα,Ιώνων
Χαλκίδα,Καβάλας
Χαλκίδα,Καβάφη Κωνσταντίνου
Χαλκίδα,Καββαδία Νίκου
Χαλκίδα,Καβνουδιά Δ.
Χαλκίδα,Καζαντζάκη Νίκου
Χαλκίδα,Καθαροσπόρη Ν.
Χαλκίδα,Καϊάφα
Χαλκίδα,Κακαρά Μιχαήλ
Χαλκίδα,Κακαρά Ν.
Χαλκίδα,Κάκτων
Χαλκίδα,Καλαβρύτων
Χαλκίδα,Καλαμά
Χαλκίδα,Κάλβου Ανδρέα
Χαλκίδα,Καλέντουλας
Χαλκίδα,Κάλλια
Χαλκίδα,Καλλιδρόμου
Χαλκίδα,Καλλιθέας
Χαλκίδα,Καλλιρρόης
Χαλκίδα,Καλογεροπούλου
Χαλκίδα,Καλύμνου
Χαλκίδα,Καμέλιας
Χαλκίδα,Κανάρη Κωνσταντίνου
Χαλκίδα,Καπνίση Νότη & Άννας
Χαλκίδα,Καπνίση Σπύρου
Χαλκίδα,Καππαδοκίας
Χαλκίδα,Καραγιάννη Λέλας
Χαλκίδα,Καραγιάννη
Χαλκίδα,Καραϊσκάκη Γεώργιου
Χαλκίδα,Καρακλέων
Χαλκίδα,Λεωφόρος Καραμανλή Κωνσταντίνου
Χαλκίδα,Καραμουρτζούνη Χρ.
Χαλκίδα,Καραολή & Δημητρίου
Χαλκίδα,Καρκαβίτσα
Χαλκίδα,Καρπάθου
Χαλκίδα,Καρύδα
Χαλκίδα,Καρυδιάς
Χαλκίδα,Καρυστίου Θεοδ.
Χαλκίδα,Καρύστου
Χαλκίδα,Καρώνη Λουκ.
Χαλκίδα,Κασομούλη
Χαλκίδα,Καστανιάς
Χαλκίδα,Καστελλόριζου
Χαλκίδα,Κατακόμβης
Χαλκίδα,Κατσαρού Όθωνος
Χαλκίδα,Κατσικογιάννη Δ.
Χαλκίδα,Κατσώνη Λάμπρου
Χαλκίδα,Καψάλη Χρ.
Χαλκίδα,Κέδρων
Χαλκίδα,Κερκύρας
Χαλκίδα,Κεφάλα Παναγιώτη
Χαλκίδα,Κεφαλληνίας
Χαλκίδα,Κηρέως
Χαλκίδα,Κηρύνθου
Χαλκίδα,Κιαπέκου Ιωάννη
Χαλκίδα,Κιθαιρώνος
Χαλκίδα,Κιμώλου
Χαλκίδα,Κισσάβου
Χαλκίδα,Κλεομάχους
Χαλκίδα,Κονιστρών
Χαλκίδα,Κόνωνος
Χαλκίδα,Κοραή Αδαμάντιου
Χαλκίδα,Κορυτσάς
Χαλκίδα,Κορωναίου
Χαλκίδα,Κοτοπούλη Σπ.
Χαλκίδα,Κουκούλη Β.
Χαλκίδα,Κουμαριάς
Χαλκίδα,Κουντουριώτου
Χαλκίδα,Κουρητών
Χαλκίδα,Κουτσαμάνη Ε.
Χαλκίδα,Κραταιμένους
Χαλκίδα,Κρήτης
Χαλκίδα,Κριεζή
Χαλκίδα,Κριεζών
Χαλκίδα,Κριεζώτου
Χαλκίδα,Κρίνων
Χαλκίδα,Κριού
Χαλκίδα,Κρίτζαλη Ν.
Χαλκίδα,Κτύπα
Χαλκίδα,Κυδωνιών
Χαλκίδα,Κυζίκου
Χαλκίδα,Κύθνου
Χαλκίδα,Κυκλάδων
Χαλκίδα,Κυκλαμίνων
Χαλκίδα,Κυλερτζή Δ.
Χαλκίδα,Κυμαίων
Χαλκίδα,Κύμης (Ξηρόβρυση Ευβοίας)
Χαλκίδα,Κύμης
Χαλκίδα,Κυπαρισσίων
Χαλκίδα,Κύπρου
Χαλκίδα,Κω
Χαλκίδα,Κωνσταντινίδου
Χαλκίδα,Κωνσταντινουπόλεως
Χαλκίδα,Κώτσου
Χαλκίδα,Λαμπούσας
Χαλκίδα,Λασιθίου
Χαλκίδα,Λαχανά
Χαλκίδα,Λεβάντας
Χαλκίδα,Λεμονιάς
Χαλκίδα,Λεμπέση Χρήστου
Χαλκίδα,Λέρου
Χαλκίδα,Λέσβου
Χαλκίδα,Λευκάδος
Χαλκίδα,Λεωφόρος Αρχιεπισκόπου Μακάριου
Χαλκίδα,Λεωφόρος Αυλίδος
Χαλκίδα,Λεωφόρος Βουδούρη
Χαλκίδα,Λεωφόρος Καραμανλή Κωνσταντίνου
Χαλκίδα,Λεωφόρος Παπανδρέου Γ. (Χαϊνά)
Χαλκίδα,Λεωφόρος Παπανδρέου Γεώργιου
Χαλκίδα,Ληλαντίων
Χαλκίδα,Λήμνου
Χαλκίδα,Λιάσκα
Χαλκίδα,Λίμνης
Χαλκίδα,Λινάρδου Γεώργιου
Χαλκίδα,Λιχάδος
Χαλκίδα,Λογοθέτη Λυκούργου
Χαλκίδα,Λόντου Ανδρέα
Χαλκίδα,Λοχαγού Γεωργιάδη Θωμά
Χαλκίδα,Λυκαρίου
Χαλκίδα,Λυκίδη
Χαλκίδα,Λύκου Αναστ.
Χαλκίδα,Λυκόφρονος
Χαλκίδα,Μαγνησίας
Χαλκίδα,Μακεδονίας
Χαλκίδα,Μακεδόνων
Χαλκίδα,Μακρή Δημ.
Χαλκίδα,Μακρή Ορέστη (Ξηρόβρυση Ευβοίας)
Χαλκίδα,Μακρή Ορέστη
Χαλκίδα,Μακρυγιάννη
Χαλκίδα,Μαλέα
Χαλκίδα,Μάλλιου Βασιλείου
Χαλκίδα,Μανόλιας
Χαλκίδα,Μανταρινιάς
Χαλκίδα,Μαραθώνος
Χαλκίδα,Μαργαρίτας
Χαλκίδα,Μαργαρίτη (Πάλια Πόλη Χαλκίδας)
Χαλκίδα,Μαργαρίτη Αντ.
Χαλκίδα,Ματσούκα Γ.
Χαλκίδα,Μαυροβουνίου
Χαλκίδα,Μαυρογένους Μαντούς
Χαλκίδα,Μαυροκορδάτου Αλεξάνδρου
Χαλκίδα,Μαυρομάτη
Χαλκίδα,Μαυρομιχάλη Ηλ.
Χαλκίδα,Μαυρομιχάλη
Χαλκίδα,Μεγασθένους
Χαλκίδα,Μελπομένης
Χαλκίδα,Μέλπως
Χαλκίδα,Μενεδήμου
Χαλκίδα,Μενεξέδων
Χαλκίδα,Μέντας
Χαλκίδα,Μέξη Χατζηγιάννη
Χαλκίδα,Μέργου Δράκοντος
Χαλκίδα,Μεσσαπίων
Χαλκίδα,Μετεώρων
Χαλκίδα,Μηλιάς
Χαλκίδα,Μήλου
Χαλκίδα,Μητροπόλεως
Χαλκίδα,Μητροπολίτη Βασιλείου
Χαλκίδα,Μητροπολίτη Νικόδημου
Χαλκίδα,Μητροπολίτη Νικολάου
Χαλκίδα,Μητροπούλου
Χαλκίδα,Μιαούλη Ανδρέα
Χαλκίδα,Μικράς Ασίας
Χαλκίδα,Μιλήτου
Χαλκίδα,Μιστριώτη Γεώργιου
Χαλκίδα,Μονής Βαρλαάμ
Χαλκίδα,Μονής Ερίων
Χαλκίδα,Μουριάς
Χαλκίδα,Μουσών
Χαλκίδα,Μπαλαλαίων
Χαλκίδα,Μπαλάνου Κ.
Χαλκίδα,Μπαρότα Κ.
Χαλκίδα,Μπέλλου Σωτηρίας
Χαλκίδα,Μπιγκόνιας
Χαλκίδα,Μπολοβίνενας
Χαλκίδα,Μπόταση Παναγή
Χαλκίδα,Μπότσαρη Μάρκου
Χαλκίδα,Μπουμπουλίνας
Χαλκίδα,Μυκόνου
Χαλκίδα,Μυριβήλη Στρατή
Χαλκίδα,Μώρου Κώστα
Χαλκίδα,Ναθαναήλ Ιωάννη
Χαλκίδα,Ναϊάδων (Δοκός Ευβοίας)
Χαλκίδα,Ναϊάδων
Χαλκίδα,Ναρκίσσου
Χαλκίδα,Ναυπλίου
Χαλκίδα,Νέα Γέφυρα Χαλκίδας
Χαλκίδα,Νεμέας
Χαλκίδα,Νεοπτολέμου
Χαλκίδα,Νεοφύτου
Χαλκίδα,Νέστου
Χαλκίδα,Νηλέως
Χαλκίδα,Νίκα Αντωνίου
Χαλκίδα,Νικηταρά
Χαλκίδα,Νικόδημου (Ξηρόβρυση Ευβοίας)
Χαλκίδα,Νοταρά
Χαλκίδα,Νουφάρου
Χαλκίδα,Ντάλιας
Χαλκίδα,Ντουρμά
Χαλκίδα,Νυκτολουλουδιάς
Χαλκίδα,Νυμφών
Χαλκίδα,Ξάνθου Εμμανουήλ
Χαλκίδα,Οδησσού
Χαλκίδα,Οινιάτου
Χαλκίδα,Οίτης
Χαλκίδα,Οιχαλίας
Χαλκίδα,Οκτωνίας (Αγία Μαρίνα)
Χαλκίδα,Οκτωνίας (Κάθετη Μαργαρίτη)
Χαλκίδα,Ολύμπου
Χαλκίδα,Ολύνθου
Χαλκίδα,Ομήρου
Χαλκίδα,Οξυάς
Χαλκίδα,Οξυλίθου
Χαλκίδα,Ορειάδων
Χαλκίδα,Ορίου
Χαλκίδα,Οσίου Δαυίδ
Χαλκίδα,Οσίου Ιωάννου Ρώσου
Χαλκίδα,Οσίου Νίκωνος
Χαλκίδα,Οσίου Χριστοδούλου
Χαλκίδα,Όχης
Χαλκίδα,Παγασών
Χαλκίδα,Παγγαίου
Χαλκίδα,Παγκάκη Ελευθέριου
Χαλκίδα,Παλαιοδημοπούλου
Χαλκίδα,Παλαιών Πατρών Γερμανού
Χαλκίδα,Παλαμά Κωστή
Χαλκίδα,Πανδώρου
Χαλκίδα,Πανίδου
Χαλκίδα,Πανιωνίων
Χαλκίδα,Πανουργιά Πάνου
Χαλκίδα,Πανσέδων
Χαλκίδα,Πανταζή Ι.
Χαλκίδα,Πανταζή Χαριλάου
Χαλκίδα,Παξών
Χαλκίδα,Παπαδημητρίου Μ.
Χαλκίδα,Παπαδιαμάντη Αλεξάνδρου
Χαλκίδα,Παπαδιαμαντοπούλου
Χαλκίδα,Παπάζογλου
Χαλκίδα,Παπαθανασίου
Χαλκίδα,Παπαλουκά Λ.
Χαλκίδα,Παπαναστασίου
Χαλκίδα,Λεωφόρος Παπανδρέου Γ. (Χαϊνά)
Χαλκίδα,Λεωφόρος Παπανδρέου Γεώργιου
Χαλκίδα,Παπανικολάου
Χαλκίδα,Παπανικολή
Χαλκίδα,Παπαποστόλου Τ.
Χαλκίδα,Παπασκιαδά
Χαλκίδα,Παπαστρατή Θρασ.
Χαλκίδα,Παπαφλέσσα
Χαλκίδα,Παπίγκη
Χαλκίδα,Παππά Γεώργιου
Χαλκίδα,Παρνασσού
Χαλκίδα,Πάρου
Χαλκίδα,Πατριάρχη Γρηγορίου Ε΄
Χαλκίδα,Πειραιώς
Χαλκίδα,Περικοκλάδας
Χαλκίδα,Περιφερειακή Οδός Χαλκίδας
Χαλκίδα,Πετμεζά
Χαλκίδα,Πετούνιας
Χαλκίδα,Πετρογιάννη (Εργ. Κατοικίες)
Χαλκίδα,Πετρογιάννη Ν.
Χαλκίδα,Πεύκων
Χαλκίδα,Πηγής
Χαλκίδα,Πηλίκα Ι.
Χαλκίδα,Πηλίου
Χαλκίδα,Πηνειού
Χαλκίδα,Πίνδου
Χαλκίδα,Πιπίνου
Χαλκίδα,Πλαγαρακίου
Χαλκίδα,Πλαπούτα Δημητρίου
Χαλκίδα,Πλατανιώτη Μιχαήλ
Χαλκίδα,Πλατάνων
Χαλκίδα,Πόθου
Χαλκίδα,Ποιητών
Χαλκίδα,Πολιτικών
Χαλκίδα,Πολυδούρη Μ.
Χαλκίδα,Πορτοκαλιάς
Χαλκίδα,Ποσειδώνος
Χαλκίδα,Πρεβέζης
Χαλκίδα,Προαστίου
Χαλκίδα,Προκοπίου
Χαλκίδα,Προποντίδος
Χαλκίδα,Πυθαγόρα
Χαλκίδα,Πυθέως
Χαλκίδα,Ραφήνας
Χαλκίδα,Ρεγκούκου
Χαλκίδα,Ρεθύμνου
Χαλκίδα,Ρηγίου
Χαλκίδα,Ροδιάς
Χαλκίδα,Ροδοδάφνης
Χαλκίδα,Ροδόπης
Χαλκίδα,Ρόδου
Χαλκίδα,Ρόδων
Χαλκίδα,Ρομποτή Κ.
Χαλκίδα,Σάββα Κωνσταντίνου
Χαλκίδα,Σαγγαρίου
Χαλκίδα,Σαλαμίνος
Χαλκίδα,Σαλονικιού Μ.
Χαλκίδα,Σαμαρτζή Δημήτρη
Χαλκίδα,Σαμοθράκης
Χαλκίδα,Σάμου
Χαλκίδα,Σαχίδη
Χαλκίδα,Σαχίνη Γεώργιου
Χαλκίδα,Σαχίνη
Χαλκίδα,Σαχτούρη Γεώργιου
Χαλκίδα,Σέκερη
Χαλκίδα,Σερίφου
Χαλκίδα,Σεφέρη Γιώργου
Χαλκίδα,Σηλυβρίας
Χαλκίδα,Σικελιανού Άγγελου
Χαλκίδα,Σίφνου
Χαλκίδα,Σιώκου Αθ.
Χαλκίδα,Σκαλκώτα
Χαλκίδα,Σκαρίμπα Γιάννη
Χαλκίδα,Σκιάθου
Χαλκίδα,Σκοπέλου
Χαλκίδα,Σκύρου
Χαλκίδα,Σμόλικα
Χαλκίδα,Σμύρνης
Χαλκίδα,Σολωμού Διονυσίου
Χαλκίδα,Σουλίου
Χαλκίδα,Σπερχειού
Χαλκίδα,Σπετσών
Χαλκίδα,Σταμάτη
Χαλκίδα,Σταμούλη
Χαλκίδα,Σταύρου Περικλή
Χαλκίδα,Στρατηγού Λειβαρά Ι.
Χαλκίδα,Στρατηγού Πλαστήρα Νικολάου
Χαλκίδα,Στύρων
Χαλκίδα,Συγγρού Ανδρέα
Χαλκίδα,Σύρου
Χαλκίδα,Σωκράτους (Νότια Ξηρόβρυση Ευβοίας)
Χαλκίδα,Σωτηριάδη Γ.
Χαλκίδα,Τατάκη
Χαλκίδα,Ταϋγέτου
Χαλκίδα,Ταυρίδας
Χαλκίδα,Τελεθρίου
Χαλκίδα,Τερτσέτη
Χαλκίδα,Τζαβάρα
Χαλκίδα,Τζαβέλλα Κίτσου
Χαλκίδα,Τζιαρντίνι
Χαλκίδα,Τήνου
Χαλκίδα,Τιμαγόρα
Χαλκίδα,Τόλια
Χαλκίδα,Τομαρά
Χαλκίδα,Τομπάζη
Χαλκίδα,Τουλίπας
Χαλκίδα,Τράλλεων
Χαλκίδα,Τραπεζούντος
Χαλκίδα,Τρικούπη Χαριλάου
Χαλκίδα,Τσαμαδού Αναστάσιου
Χαλκίδα,Τσέλιου Δήμου
Χαλκίδα,Τσιαρτίνη
Χαλκίδα,Τσιριγώτη
Χαλκίδα,Τσίρκα Στρατή
Χαλκίδα,Τσολάκου
Χαλκίδα,Τυννίχου
Χαλκίδα,Υακίνθων
Χαλκίδα,Υγείας
Χαλκίδα,Ύδρας
Χαλκίδα,Υμηττού
Χαλκίδα,Υπάτης
Χαλκίδα,Υψηλάντου
Χαλκίδα,Φαβιέρου
Χαλκίδα,Φαρμακίδου
Χαλκίδα,Φάρου
Χαλκίδα,Φεραίου Ρήγα
Χαλκίδα,Φιλικής Εταιρείας
Χαλκίδα,Φιλιππίδου Κ.
Χαλκίδα,Φιλοξένου
Χαλκίδα,Φίλωνος
Χαλκίδα,Φλαμουριάς
Χαλκίδα,Φοινίκων
Χαλκίδα,Φολερώ Ραούλ
Χαλκίδα,Φουντουκιάς
Χαλκίδα,Φούξιας
Χαλκίδα,Φουρλή Γεώργιου
Χαλκίδα,Φουσάρα
Χαλκίδα,Φριζή Μαρδοχαίου
Χαλκίδα,Φύλλων
Χαλκίδα,Φυστικιάς
Χαλκίδα,Φωκίδος
Χαλκίδα,Φωτήλα Ασημάκη
Χαλκίδα,Φωτομαρά
Χαλκίδα,Χαιρωνείας
Χαλκίδα,Χαλκίδας - Αλιβερίου
Χαλκίδα,Χαλκίδας - Αφρατίου
Χαλκίδα,Χαλκίδας - Λουκισίων
Χαλκίδα,Χαλκιδικής (Καμάρες)
Χαλκίδα,Χαλκιδικής (Παλιά Πόλη)
Χαλκίδα,Χαλκιδικής
Χαλκίδα,Χαλκώδοντος
Χαλκίδα,Χάνδακος
Χαλκίδα,Χανίων
Χαλκίδα,Χαραλάμπους
Χαλκίδα,Χαραυγής
Χαλκίδα,Χαρώνδα
Χαλκίδα,Χατζή Σωτηρίου
Χαλκίδα,Χατζόπουλου Π.
Χαλκίδα,Χειμάρρας
Χαλκίδα,Χιλιαδούς
Χαλκίδα,Χίου
Χαλκίδα,Χορτιάτη
Χαλκίδα,Χουρμουζιάδου Αλ.
Χαλκίδα,Χριστοδούλου Ν.
Χαλκίδα,Χρυσανθέμων
Χαλκίδα,Χρυσοστόμου Σμύρνης
Χαλκίδα,Ψαρών
Χαλκίδα,Ψαχνών
Χαλκίδα,Ωκεανίδων
Χαλκίδα,Ωρίωνος
Θήβα,104η Οδός
Θήβα,158η Οδός
Θήβα,28ης Οκτωβρίου
Θήβα,91η Οδός
Θήβα,Αγγελίδη
Θήβα,Αγησιλάου
Θήβα,Αμφίωνος
Θήβα,Αγίας Ελένης
Θήβα,Αγίας Ελεούσης
Θήβα,Αγίας Παρασκευής
Θήβα,Αγίας Τριάδος
Θήβα,Αγίας Φωτεινής
Θήβα,Αγίου Αθανασίου
Θήβα,Αγίου Δημητρίου
Θήβα,Αγίου Κωνσταντίνου
Θήβα,Αγίου Μελετίου
Θήβα,Αγίου Νικολάου
Θήβα,Αγίων Αποστόλων
Θήβα,Αγίων Θεοδώρων
Θήβα,Αγίων Πάντων
Θήβα,Αδελφοσύνης
Θήβα,Αθανασάκη
Θήβα,Αθανασιάδου Ευθ.
Θήβα,Αθανασιάδου
Θήβα,Αισχύλου
Θήβα,Αισώπου
Θήβα,Ακταίωνος
Θήβα,Αλαμάνας
Θήβα,Αλκμήνης
Θήβα,Αναπαύσεως
Θήβα,Ανδριανού Γεώργιου
Θήβα,Ανδριανού Σ.
Θήβα,Ανδρούτσου Οδυσσέα
Θήβα,Ανθεμίου
Θήβα,Αντιγόνης
Θήβα,Αντιόπης
Θήβα,Αντωνιάδου
Θήβα,Απόλλωνος
Θήβα,Απόστολου Παύλου
Θήβα,Αρβανιτάκη Σ.
Θήβα,Αρισταίου
Θήβα,Αριστόδημου
Θήβα,Αριστοτέλους
Θήβα,Αριστοφάνους
Θήβα,Αρμονίας
Θήβα,Αρτέμιδος
Θήβα,Άσκρης
Θήβα,Ασωπού
Θήβα,Αυλίδος
Θήβα,Αυξεντίου Γρηγορίου
Θήβα,Αφροδίτης
Θήβα,Βαγιάννη Ευκλείδη
Θήβα,Βάρναλη Κώστα
Θήβα,Βασιλείου Αντ.
Θήβα,Βασιλείου Χαρ.
Θήβα,Βενιζέλου Ελευθέριου
Θήβα,Βενιζέλου Κων.
Θήβα,Βίαντος
Θήβα,Βιθυνίας
Θήβα,Βλάχου Θ.
Θήβα,Βλάχου
Θήβα,Βουρδουμπά Δ.
Θήβα,Βρυζάκη Θ.
Θήβα,Γαλιλαίου
Θήβα,Γεωργαλή Νικ.
Θήβα,Γεωργίου
Θήβα,Γιαννακλάρα Π.
Θήβα,Γιαννάκου
Θήβα,Γιαννιού
Θήβα,Γιγάντων
Θήβα,Γληνού
Θήβα,Γοργίδα
Θήβα,Γοργοποτάμου
